reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R03883(r)/1.3.1A2(rev)/1.3.1.47;	1/1.3.1A1(rev);	0.505669	1	0.75	0.541667	0.526316	0.517857	0.5	0.47	0.46281
R03882(r)/1.3.1A1(rev)/1.3.1.47;	1/1.3.1A1(rev);	0.505669	1	0.75	0.541667	0.526316	0.517857	0.5	0.47	0.46281
R06931(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.496599	0.777778	0.5	0.4	0.404255	0.460317	0.476744	0.51087	0.571429
R06931(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.483444	0.777778	0.470588	0.387097	0.395833	0.439394	0.460674	0.5	0.565657
R07705(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.482379	0.777778	0.533333	0.444444	0.452381	0.5	0.493976	0.465347	0.470588
R07705(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.482379	0.777778	0.533333	0.444444	0.452381	0.5	0.493976	0.465347	0.470588
R05312(r)/1.3.1A1(rev)/1.3.1.65;	1/1.3.1A1(rev);	0.475054	0.777778	0.470588	0.387097	0.387755	0.426471	0.450549	0.489583	0.56
R05395(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.463983	0.777778	0.5	0.4	0.38	0.432836	0.465909	0.474747	0.495575
R05395(r)/1.3.1A1(rev)/;	1/1.3.1A1(rev);	0.463983	0.777778	0.5	0.4	0.38	0.432836	0.465909	0.474747	0.495575
R05396(r)/1.3.1A2(rev)/;	1/1.3.1A1(rev);	0.463983	0.777778	0.5	0.4	0.38	0.432836	0.465909	0.474747	0.495575
R05396(r)/1.3.1A2(rev)/;	1/1.3.1A1(rev);	0.463983	0.777778	0.5	0.4	0.38	0.432836	0.465909	0.474747	0.495575
R03251(r)/1.3.1A1(rev)/1.3.1.18;	1/1.3.1A1(rev);	0.455301	0.777778	0.5	0.4	0.387755	0.432836	0.44086	0.447619	0.5
R06896/1.3.1A2(rev)/1.3.1.75;	1/1.3.1A1(rev);	0.44332	0.777778	0.571429	0.461538	0.452381	0.483333	0.5	0.435185	0.366013
R06272/1.3.1A2(rev)/1.3.1.75;	1/1.3.1A1(rev);	0.44332	0.777778	0.571429	0.461538	0.452381	0.483333	0.5	0.435185	0.366013
R03251(r)/1.3.1A1(rev)/1.3.1.18;	1/1.3.1A1(rev);	0.440644	0.777778	0.470588	0.375	0.38	0.414286	0.42268	0.435185	0.491228
R07705(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.433663	0.777778	0.5	0.4	0.395833	0.432836	0.431579	0.423423	0.434109
R07705(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.433663	0.777778	0.5	0.4	0.395833	0.432836	0.431579	0.423423	0.434109
R07705(r)/1.3.1A1(rev)/1.3.1.29;	1/1.3.1A1(rev);	0.433663	0.777778	0.5	0.4	0.395833	0.432836	0.431579	0.423423	0.434109
R10242(r)/1.3.1A2(rev)/1.3.1.22;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R02609,R02610(r)/1.3.1A2(rev)/1.3.1.22,1.3.1.3;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R08954/1.3.1A2(rev)/1.3.1.22;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R02497,R02498(r)/1.3.1A2(rev)/1.3.1.22,1.3.1.3;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R02219/1.3.1A2(rev)/1.3.1.3,1.3.99.6;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
